Title,Url,Date-Scraped,Date-Posted,Company,Location,applicant-num,Employment-type,Job-Function,Industries,Description
Data Scientist(Remote),https://www.linkedin.com/jobs/view/data-scientist-remote-at-synergisticit-3415233108?refId=Z%2Bwt3pYFy0IBzjrtLcHPSg%3D%3D&trackingId=BCS0Cil0jFS%2FdaGeO1gBrw%3D%3D&position=21&pageNum=19&trk=public_jobs_jserp-result_search-card,2023-01-08 17:27:40.095538 MDT,2023-01-08,"
                SynergisticIT
              ","
              Columbus, OH
            ","
            Be among the first 25 applicants
          ","
          Contract
        ","
            Information Technology
          ","
          IT Services and IT Consulting
          ","
        Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.Job DescriptionIdentify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to Client trends and patternsPresent information using data visualization techniquesPropose solutions and strategies to business challengesRequired Knowledge of How to implement multiple plotsCreating graph-Bar/Pie/Line chartLabel encoding with merging  Education Requirement: -Bachelors in Computer Science, Engineering or relevant field; graduate degree in Data Science or another quantitative field is preferred. Skill Required-Ability to work with stakeholders to assess potential risks.Strong math skills (e.g., statistics, algebra).Experience in data miningKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ Benefits:On Job Technical supportE- verifiedFiling of H1b and Green cardFull time position  Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you
      "
Data Scientist,https://uk.linkedin.com/jobs/view/data-scientist-at-harnham-3408978803?refId=Z%2Bwt3pYFy0IBzjrtLcHPSg%3D%3D&trackingId=FZDFgkwJM%2F1nyw0zKbdMnw%3D%3D&position=22&pageNum=19&trk=public_jobs_jserp-result_search-card,2023-01-08 17:27:44.726175 MDT,2023-01-08,"
                Harnham
              ","
              London, England, United Kingdom
            ","
          166 applicants
        ","
          Full-time
        ","
            Manufacturing
          ","
          IT Services and IT Consulting
          ","
THE ROLEAs a Data Scientist, you will have to:Build clustering algorithms and segmentation models for customer churnConducting forecasting/predictive models and anomaly prediction to analyze customer dataCreate time-series models and calculate revenue to help solve business problemsCollaborate with the team to maintain performance SKILLS AND EXPERIENCE NEEDEDThe successful Data Scientist will have the following skills and experience:Strong experience in Python, SQL, and a cloud system (AWS, GCP, Azure) Proven strong experience in machine learning and end-to-end Data Science a mustStrong presentation/communication and stakeholder management skillsExperience in consulting industry preferredBSc, M.Sc., or Ph.D. in a related field (Machine Learning, Data Science, Statistics etc.) BENEFITSAs a Data Scientist, you will receive a salary of up to £70,000 as well as benefits! HOW TO APPLYIf you're interested in this role, please send your CV to Intizar Demir via the Apply link on this page.
"
Data Scientist,https://uk.linkedin.com/jobs/view/data-scientist-at-european-foundation-for-business-qualification-efbq-3415414842?refId=Z%2Bwt3pYFy0IBzjrtLcHPSg%3D%3D&trackingId=K61vlkjjj4IFzARQA%2Fd6BQ%3D%3D&position=23&pageNum=19&trk=public_jobs_jserp-result_search-card,2023-01-08 17:27:49.538454 MDT,2023-01-08,"
                European Foundation for Business Qualification (EFBQ)
              ","
              London, England, United Kingdom
            ","
            Be among the first 25 applicants
          ","
          Contract
        ","
            Engineering and Information Technology
          ","
          Business Consulting and Services
          ","
        Central London Contract £700-800 per dayWe're currently seeking a number of experienced and ambitious Data Scientists to work with our exceptional client , a world class brand in a secure environment to drive major business transformation and process change (both cultural and technical) across this complex organisation which will run well into 2025.These contract roles will require you to conduct security clearance prior to assignment. Opportunities are available in Central London.These Data Scientist roles are conducted in an environment that is far from ordinary, therefore, we're not looking for ordinary. You'll have the potential to work effectively across a large number of teams and a diverse range of projects spanning multiple business units, such as communications, facilities, education, security and technical development. You will be encouraged and assisted to enhance your skills on unique projects.You will be able to demonstrate your enthusiasm and experience of managing small, diverse, multi disciplinary teams to deliver flexible and outstanding solutions for internal and external senior stakeholders. Applying a wide range of analytical and modelling techniques to a vast array and high volumes of their raw data, providing findings and insights, using machine learning to convert data and developing algorithms for problem solving. You will also need the leadership credentials to manage a small team.Your ExperienceAs an exceptional Data Scientist you will have:Experience of data mining methods and data tools.Ability to use, create and develop algorithms, models and simulations.Experience in data visualisation and presenting data in graph or pictorial formatAbility to clean and validate data to ensure uniformity and accuracyAbility to use linear and non-linear regression, logistic regression, models and classification techniques for data analysis, clustering, dimensionality reduction, k-NN and pipelineProficiency in mathematical computingExcellent interpersonal skillsExcellent verbal and written communication skillsProficiency in various programming languages such as Java, C, Python, along with strong coding skillsAs well as experience, a relevant academic standard, accreditation or professional affiliation is required such as a degree in data science, data analytics, business analytics, big data, statistics, information technology, computer engineering, computer science or applied mathematics and certification from a relevant body such as the Institute for Direct and Digital Marketing certification and the Chartered Institute of Marketing certification.In ReturnYou'll be joining an ambitious, high level team of like-minded and highly skilled individuals, all focussed on delivering the best possible outcome.We are focused on bringing and nurturing the best talent into our team, recruiting widely to ensure we are inclusive and providing a supportive and safe environment where people can bring their authentic selves to work to be able to deliver at their best.This is literally a once in a lifetime opportunity to step away from the mundane and forge your own path in a totally new direction working on life and culture changing projects.If you're ready for a challenge like no other, apply today.These roles are available on up to 24 month contracts (inside IR35) and offer flexible and hybrid working in most cases.Guidant Global is acting as an Employment Business in relation to this vacancy.
      "
Data Scientist,https://ae.linkedin.com/jobs/view/data-scientist-at-shory-3410744188?refId=Z%2Bwt3pYFy0IBzjrtLcHPSg%3D%3D&trackingId=V1Afb9otHBF%2B7OjV8HIXWg%3D%3D&position=24&pageNum=19&trk=public_jobs_jserp-result_search-card,2023-01-08 17:27:59.045317 MDT,2023-01-08,"
                Shory
              ","
              Abu Dhabi Emirate, United Arab Emirates
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Insurance
          ","
Shory is the soft revolution in the Insurtech market. Welcome to a new age where insurance actually empowers its customers. We use technology to serve our customers and create ease of mind and trustworthiness around insurance needs. With Shory, a new time has begun.About the Role & OpportunityWe are looking for a Data Scientist to join our UAE team who will be responsible to design, execute and evaluate business analysis to present clear and actionable strategies, models, data visualization, reporting and results. Responsible to collect big data, conduct data intelligence models, patterns and pricing schemes that seek to improve business and financial returns.Create a prediction model, customer base retention, patterns, cost base analysis and relevant dashboards and automated reportsDesign correlation models for customer usage and design more attractive offers for future users in relevant markets, segmentsDesign models for budget planning and target settingDesign and monitor cost benefit analysis and report on opportunity areasEnsure data integrity and governance with relation to data collection and retentionDevelop vertical target sectors to address customer’s needs and overcome key data or technology challengesBe a visionary thinker and leader in researching tech and other relevant companies to seek scale up, deliver state of the art technology solutionsDrive design, implementation and adoption of a modern, connected data ecosystem with governance and regulationsCreate data design principles, models, schemas and methodologies for all relevant products to bring solutions to stakeholdersDevelop, execute and evaluate business analysis to present clear actionable recommendationsCreate a reporting framework for reporting, analytics and data visualization on all relevant productsEnsure all business analytics have metrics, revenue and churn measurements.Create dashboards or other visual analytics data visualization platformsAnalyse claims and policies to verify type of schemes/pricing to garner increased resultsKeep abreast of all new tech and data developments with emerging technologies and possible alignment areasAbout the Skills, Education & Experience RequiredTo be considered for this role, you will need to have at least 6 - 8 years of experience in designing, programming and supporting data management systems.Bachelor's degree in Information Technology or Information Management Systems or any relevant qualificationsExperienced in technologies such as: R statistical data analysis, .NET, Java, C#, Python, VR, Mongo DB and AzureHighly proficient in data analytics: google analytics 360 Suits, Google Big Query, Google Tag Manager, Google Tab Studio, first and third party cookiesIf you have the relevant experience and are interested in being part of our team, please take the time to apply for this position.
"
AI & Machine Learning Engineer Senior,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-senior-at-lockheed-martin-3432074507?refId=Z%2Bwt3pYFy0IBzjrtLcHPSg%3D%3D&trackingId=FCQZGGjAcsc5Suzk4bPM8w%3D%3D&position=25&pageNum=19&trk=public_jobs_jserp-result_search-card,2023-01-08 17:28:03.668901 MDT,2023-01-08,"
                Lockheed Martin
              ","
              Titusville, FL
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Defense and Space Manufacturing
          ","
        The coolest jobs on this planet… or any other… are with Lockheed Martin Space.For over 60 years, the Fleet Ballistic Missile (FBM) team has supported the Navy’s mission to provide affordable and credible strategic defense. We offer unique career opportunities and challenges on a program with a rich history and exciting future. We help keep this nation and our allies secure. The FBM Program is experiencing significant growth and we need your expertise to deliver amazing new technologies to our customers while maintaining the technical requirements of the strategic deterrence.Learn about the Trident II D5 Fleet Ballistic Missile.We have an immediate opportunity for a dynamic, hardworking career level Autonomy and Artificial Intelligence (A/AI) Machine Learning (ML) Engineer who wants to join our mission.As An A/AI Machine Learning Engineer, You Will Work on a team of A/AI ML engineers in the Fleet Ballistic Missile SEIT organization Engage with technical users to identify opportunities to drive use cases for AI/ML Create innovative solutions to complex analysis requirements Engage in critical design reviews and provide insights into alternate design choices Develop machine learning components and apply these to anomaly detection Plan, conduct, develop, and operationalize machine learning models on datasets that include time-series, text, etc. Conduct statistical analysis, set up experiments, formulate hypothesis and evaluate statistical significance to identify meaningful insights, communicate findings and provide recommendations Maintain awareness of emerging analytics technologies Craft whitepapers, research papers, follow industry trends in Machine learning and AI to integrate solutionsTo promote the sharing of ideas, Lockheed Martin cultivates an inclusive work environment that inspires differences and big-picture thinking.Here Are Some Of The Benefits You Can EnjoyOur employees play an active role in strengthening the quality of life where we live and work by volunteering more than 850,000 hours annually. Medical Dental 401k Paid time off Work/life balance Career development Mentorship opportunities Rewards & recognition
"
Data Science - All Levels,https://www.linkedin.com/jobs/view/data-science-all-levels-at-fedex-dataworks-3412285047?refId=LgBgawJBIgSW2z7qP%2BPI8w%3D%3D&trackingId=5XN%2FjzqzdEoxVDKagjTlxA%3D%3D&position=1&pageNum=20&trk=public_jobs_jserp-result_search-card,2023-01-08 17:28:08.451958 MDT,2023-01-08,"
                FedEx Dataworks
              ","
              United States
            ","
            Over 200 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
        Duties for this role include but not limited to: provide enterprise level analytics related to vast quantities of data (including disparate data), enterprise analytics, statistical modeling, and initiatives. Responsible for descriptive, predictive, prescriptive and ensemble modeling, advanced statistical techniques, use of databases tools and/or other approaches in quantitative analysis of complex business situations. Creates and executes solutions from initial concept to fully tested production and communicates results to a board range of audiences. Uses data, statistical and quantitative analysis, explanatory and high complexity predictive modeling and fact based management to drive decision making. Leads cross functional teams. Routinely work on multiple highly complex assignmentsThe Data Scientist team owns and is responsible for all major data science initiatives. Expected to use and deploy cutting edge data science and machine learning tools and methods in all Dataworks projects, platforms, and products. Always working to keep Dataworks on the leading edge by understanding and implementing the very latest and most sophisticated methods utilizing tools for grappling with extremely large scale and complex problems. Leads modeling and development to support operations initiatives, strategic programs, and new products/solutions, using advanced descriptive, diagnostic, predictive, prescriptive and ensemble modeling, advanced statistical techniques, and complex mathematical modeling/tool development. This team will lead the creation and implementation of solutions from concept to production using current and emerging technologies. The team will develop solutions supporting the movement of data and information assets following API-First / Service-Oriented Architecture principles. Leverages proficiency in ML Ops, CI/CD processes and machine learning / data engineering practices to ensure sustainable model development and provide recommendations on highly complex problems.Minimum QualificationsData Scientist III:Master’s Degree or equivalent in computer science, operations research, statistics, applied mathematics or related quantitative discipline. Directly related PhD preferred. Four (4) years’ work experience in applying data science (machine learning, artificial intelligence, statistical analysis), operations research (optimization, algorithms, mathematical modeling), and data analytics modeling to decrease cost, increase profitability, and improve customer experience. Extensive knowledge in advanced data science and machine learning tools and methods, including the iterative development of analysis pipelines to provide insights at scale. Extensive knowledge and experience in conducting end-to end analyses, including data gathering and requirements specification, processing, analysis, and presentations. Strong understanding of the transportation industry, competitors, and evolving technologies. Experience providing some level of leadership in a general planning or consulting setting. Experience as a leader or a senior member of multi-functional project teams. Strong oral and written communication skills. A related advanced degree may offset the related experience requirements.Data Scientist Lead:Master’s Degree or equivalent in computer science, operations research, statistics, applied mathematics or related quantitative discipline. Directly related PhD preferred. Six (6) years’ work experience in applying data science (machine learning, artificial intelligence, statistical analysis), operations research (optimization, algorithms, mathematical modeling), and data analytics modeling to decrease cost, increase profitability, and improve customer experience. Extensive knowledge in advanced data science, statistical analysis, and machine learning methods, including the iterative development of analysis pipelines to provide insights at scale. Extensive experience conducting end-to-end analyses, including data gathering and requirements specification, processing, analysis and presentation. Strong familiarity with the transportation industry, competitors, and evolving technologies. Experience providing leadership in a general planning or consulting setting. Experience as a leader or a senior member of multi-functional project teams. Strong human relations, organizational / time management, project management, and software development skills. Excellent interpersonal skills and the ability to present and communicate effectively to executive audiences.Additional InformationColorado Residents Only – Compensation: Monthly Salary: $8,413.00 - $14,201.00. The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your work location, how many years of experience you have, and comparison to other employees already in this role. This information is provided to applicants in accordance to the Colorado Equal Pay for Equal Work Act.Born out of FedEx, a pioneer that ships nearly 20 million packages a day and manages endless threads of information, FedEx Dataworks is an organization rooted in connecting the physical and digital sides of our network to meet today's needs and address tomorrow's challenges.We are creating opportunities for FedEx, our customers, and the world at large by:Exploring and harnessing data to define and solve true problems;Removing barriers between data sets to create new avenues of insight;Building and iterating on solutions that generate value;Acting as a change agent to advance curiosity and performance. At FedEx Dataworks, we are making supply chains work smarter for everyone.Employee Benefits: medical, dental, and vision insurance; paid Life and AD&D insurance; tuition reimbursement; paid sick leave; paid parental leave, paid vacation, paid military leave, and additional paid time off; geographic pay ranges; 401k with Company match and incentive bonus potential; sales Incentive compensation for selling roles.Dataworks does not discriminate against qualified individuals with disabilities in regard to job application procedures, hiring, and other terms and conditions of employment. Further, Dataworks is prepared to make reasonable accommodations for the known physical or mental limitations of an otherwise qualified applicant or employee to enable the applicant or employee to be considered for the desired position, to perform the essential functions of the position in question, or to enjoy equal benefits and privileges of employment as are enjoyed by other similarly situated employees without disabilities, unless the accommodation will impose an undue hardship. If a reasonable accommodation is needed, please contact DataworksTalentAcquisition@corp.ds.fedex.com.
      "
Data Science Manager,https://uk.linkedin.com/jobs/view/data-science-manager-at-what-s-possible-group-3410876589?refId=LgBgawJBIgSW2z7qP%2BPI8w%3D%3D&trackingId=mW5tA1njOQDimeTBuYyj9Q%3D%3D&position=2&pageNum=20&trk=public_jobs_jserp-result_search-card,2023-01-08 17:28:22.495660 MDT,2023-01-08,"
                What's Possible Group
              ","
              London Area, United Kingdom
            ","
          26 applicants
        ","
          Full-time
        ","
            Analyst
          ","
          Technology, Information and Internet
          ","
        What’s Possible Group is built around the particular needs of today’s most exciting businesses. We call them Dynamic Growth Brands and you’ll know lots of them.We are building a mould-breaking data, analytics and insight (DAI) centre of excellence at the heart of the Group.Yes, we need to be best in class as a DAI team for a top media agency (not to mention an agency that places evidence of business effectiveness at the heart of all it does). But it goes way beyond that. Into location data, CRM data, brand affinity, ATL, BTL, acquisition, retention, creative optimisation. Basically, if our clients need it, we work out how to add value and integrate it. Building stronger relationships with clients and feeding our inquisitiveness in the process.We are looking for a Data Science Manager to join us and work on our proprietary media attribution tool. You will be responsible for developing and iterating on our attribution models to help clients and our internal and external stakeholders understand historic and predicted impacts of media plans and executions. Ideally you will have a strong background in data science and machine learning, as well as experience with attribution modelling.What You'll Be DoingLead the development and implementation of attribution models across media types for all client verticals Use machine learning techniques to optimise and improve the accuracy of attribution models Develop an unsupervised training methodology for our models Collaborate with cross-functional teams to identify opportunities for new analysis, optimisations, and feature development Collaborate with development team on integrating model solutions into a product architecture (i.e. Jupyter notebooks won’t cut it!) Assist in the development of presentations and sales content (i.e. demo & sandbox environments) for new business support Stay current on industry trends and best practices in data science and attribution modelling Hire and manage a small team of data scientists to support existing and new ML-based products RequirementsCandidates best suited for this role will be comfortable in designing and developing solutions to problems with autonomy. You aren’t a solutions architect and are happy to collaborate with those highly fluent in both statistics and marketing acumen. Despite your functional autonomy, you are a natural collaborator and work well with others across disciplines and backgrounds. You’ll feel most confident in this role with some of the following in your pocket:several years of experience in data science and machine learning, with a focus on attribution modelling experience with applying models in a live product (SaaS or enterprise solution) strong problem-solving and analytical skills experience with multiple machine learning libraries such as scikit-learn, TensorFlow, or PyTorch Experience writing algorithms with pandas, numpy and pyspark excellent communication skills ability to work independently and be an empathetic leader in a team environment experience in the media industry is a plus experience managing and mentoring a team is a plus Our Data & Analytics team recruit almost exclusively for naturally curious and inquisitive personalities. Self-development and personal growth are key expectations of anyone who fills this role.BenefitsWe provide an exciting, fast paced, people first environment that allows everyone to grow, learn and thrive. We encourage a flexible way of working to adapt to personal circumstances, individual, and business needs.We offer all our employees share options, and we've built a benefits package that invests in our employees’ long-term personal and professional growth and wellbeing.Our Values Passion: You share your excitement about what drives you Inquisitiveness: Ask ""what's possible?"". Ask ""why not?"". Caring: Be a good professional, a good colleague and a good human. Knowledge: Know plenty. Share it. Learn more.And we live them every day #IamPICKSound good to you? Then get in touch. We don’t bite.At What's Possible Group our culture, our creativity and our passion is powered by people. People just like you. Diversity and difference drive innovation, not only for us but also for our clients and is at the heart of everything that we do.What's Possible Group is proud to be an equal opportunities employer. We welcome applications from all, regardless of race, gender, disability, religion, sexual orientation or age as we seek to recruit the very best from a diverse talent pool. If you require flexible working options please get in touch and we’ll be as accommodating as we can.
"
Machine Learning Developer,https://www.linkedin.com/jobs/view/machine-learning-developer-at-synergisticit-3415227761?refId=LgBgawJBIgSW2z7qP%2BPI8w%3D%3D&trackingId=Gwqkl26FqnomRLh%2FqZItyQ%3D%3D&position=3&pageNum=20&trk=public_jobs_jserp-result_search-card,2023-01-08 17:28:27.286132 MDT,2023-01-08,"
                SynergisticIT
              ","
              Hurricane, WV
            ","
            Be among the first 25 applicants
          ","
          Contract
        ","
            Engineering and Information Technology
          ","
          IT Services and IT Consulting
          ","
About UsSynergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.Job DescriptionPerform statistical analysisFlask introduction and Flask application Tokenization and Ada boost Work on CNN in python and SVR/SVM and isolation forestUndertaking machine learning experiments and testDesigning machine learning programs Developing deep learning systems to various use cases based on the business needs and Finally implementing suitable AI/Client algorithms Skills Required- Applied Mathematics. Math's is quite an important skill in the arsenal of a Machine Learning engineer. Computer Science Fundamentals and Programming. Data Modeling and Evaluation. Neural Networks. Natural Language Processing. Communication Skills.Education Requirement: -Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.Benefits On Job Technical support E- verified Full time positionCandidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.
      "
"Data Scientist- Position is Working Onsite in Great Neck, NY",https://www.linkedin.com/jobs/view/data-scientist-position-is-working-onsite-in-great-neck-ny-at-carrie-rikon-associates-llc-3414718170?refId=LgBgawJBIgSW2z7qP%2BPI8w%3D%3D&trackingId=2uAmAqncXja%2FMv2okCWb%2BQ%3D%3D&position=4&pageNum=20&trk=public_jobs_jserp-result_search-card,2023-01-08 17:28:32.084513 MDT,2023-01-08,"
                Carrie Rikon & Associates, LLC
              ","
              Great Neck, NY
            ","
          76 applicants
        ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Internet Publishing
          ","
Data Scientist80K-90K Plus Bonus And Benefits.Working onsite in Great Neck, Long Island.Large well known food company is the leading wholesale distributor of food, equipment and supplies to independent grocery retailers and foodservice operators across the United States.The company operates 134 locations in 34 states. Seeking highly motivated, technically proficient and business savvy data analyst for our growing analytics function.You will have the opportunity to work on a variety of interesting data science projects that have far reaching implications for all stakeholders across our organization. Job Description Experience effectively translating between business value, requirements, and technical solutions Demonstrated ability to take real-world analytics/data science projects from start to finish – including data cleaning, descriptive analysis, predictive modelling and visualizations Experience in extracting, cleaning, and aggregating from different data sources Knowledge of statistical modelling techniques, machine learning and time series forecasting Advanced knowledge of either Python or R with respect to their data analysis stacks Comfortable with using SQL to extract and transform data. Advanced knowledge of querying SQL databases and writing stored procedures is a big plus Experience with creating and deploying dashboards and custom visualizations Familiarity with one of R Shiny OR Plotly Dash Experience with Flask or Django combined with a front end framework like React is a plus Bachelor’s Degree or higher in Analytics / Statistics / Data Science or other related subjects Strong working knowledge of utilizing standard MS Office tools (Excel, Word, and Power Point) Ability to multi-task and adjust priorities based on workload and direction from management. Self-motivated to document processes and teach others Candidates that do not demonstrate all of the above are still strongly encouraged to apply. Applicants should submit a paragraph summarizing one of their data science projects – the challenges they faced and how they overcame it. 2. Applicants should also provide links to their GitHub profiles or portfolios.Powered by JazzHRr5ggINbKlK
      "
Junior Data Scientist (m/w/d),https://de.linkedin.com/jobs/view/junior-data-scientist-m-w-d-at-ga-tec-geb%C3%A4ude-und-anlagentechnik-gmbh-3427999004?refId=LgBgawJBIgSW2z7qP%2BPI8w%3D%3D&trackingId=VySpGVt2OZyneMDhCR9gzg%3D%3D&position=5&pageNum=20&trk=public_jobs_jserp-result_search-card,2023-01-08 17:28:36.766797 MDT,2023-01-08,"
                GA-tec Gebäude- und Anlagentechnik GmbH
              ","
              Frankfurt, Hesse, Germany
            ","
            Be among the first 25 applicants
          ","
          Full-time
        ","
            Engineering and Information Technology
          ","
          Industrial Machinery Manufacturing
          ","
        Mehr als 11.200 Filialen und 200 Logistikzentren in 32 Ländern – das ist Lidl. Um unsere anspruchsvollen Ziele weiterhin effizient erreichen zu können, suchen wir dich als Verstärkung für unseren Analytics-Bereich. Hier begleiten wir Lidl auf dem Weg zu einem datengetriebenen Unternehmen und pilotieren im „Fail-Fast Ansatz“ innovative Business-Anwendungen im Schulterschluss mit den Fachabteilungen (Vertrieb, Einkauf etc.). Dazu beraten wir diese bei Fragestellungen und gestalten weltweite Geschäftsprozesse mit. Zusätzlich unterstützen wir die Länder, dezentral Analytics-Kompetenzen aufzubauen und durch eine enge Zusammenarbeit die internationalen Synergien zu schöpfen. Bewirke Großes und erlebe, dass sich dein Einstieg lohnt – am internationalen Hauptsitz von Lidl in Neckarsulm.Deine AufgabenIdentifizierung von Fragestellungen mit dem Fachbereich bei denen Data Science einen echten finanziellen Mehrwert für Lidl liefertBereinigung und Verknüpfung relevanter Datenquellen als Grundlage für weitere AnalysenNutzung modernster Algorithmen, um unterschiedliche Geschäftsprozesse zu optimieren und Herbeiführung des Proof-of-ConceptDurchführung von Piloten gemeinsam mit dem Fachbereich, um die Funktionsfähigkeit und den Mehrwert deiner Modelle in der Praxis unter Beweis zu stellenVorbereitung des Übergangs zur Industrialisierung mit den Kollegen aus der ITBearbeiten von Projekten in interdisziplinären, agilen Teams sowie regelmäßige Präsentation neuer Ergebnisse vor Stakeholdern und dem ManagementDein Profil Abgeschlossenes Hochschulstudium im Bereich Mathematik / Statistik, Informatik, Physik, VWL, BWL oder einer themenverwandten FachrichtungSehr gute Kenntnisse in der Anwendung von Machine-Learning-, Optimierungs- und Data Mining-Methoden (z.B. mit Python, Spark oder R)Kenntnisse im Umgang mit Datenbanken (SQL, Hadoop, Hive)Fähigkeit, komplexe Fragestellungen und Szenarien zu verstehen, detailliert zu analysieren und die gewonnenen Erkenntnisse einem nicht-technischen Publikum verständlich zu präsentierenSehr gute Deutschkenntnisse und idealerweise EnglischkenntnisseDeine VorteileWir legen Wert darauf, dass sich dein Einstieg bei uns lohnt! Daher profitierst du bei uns nicht nur von einer überdurchschnittlichen Vergütung und allen Sozialleistungen eines Großunternehmens. Wir erkennen die vielfältigen Bedürfnisse unserer Kolleginnen und Kollegen an und entwickeln Lösungen zur Vereinbarkeit von Berufs- und Privatleben. Ein persönlicher Pate macht dich vom ersten Tag an mit deinem Job vertraut und ist dein Ansprechpartner für alle Fragen, rund um das Unternehmen. So findest du dich bei uns schnell zurecht – und so kannst du von Beginn an das kollegiale Miteinander und die individuellen Weiterbildungsmöglichkeiten für dich entdecken.Mobiles Arbeiten bis zu 5 Tage pro WocheÜber flexible Arbeits-/Teilzeitmodelle kannst du dir deine Arbeitszeit ortsunabhängig, d.h. vor Ort oder im mobilen Arbeiten, in Abstimmung mit deinem Vorgesetzten mit bis zu 5 Tagen pro Woche so einteilen, wie es am besten zu deiner persönlichen Situation passt.Ein tolles TeamGesundheit am ArbeitsplatzWir haben die gesundheitlichen Aspekte deines Arbeitsplatzes im Blick und ein eigenes Gesundheitsmanagement. Die Arbeitsplätze bei Lidl sind daher so ausgestattet, dass du dort sicher arbeiten kannst.Moderne AusstattungDie IT-Ausstattung deines Arbeitsplatzes ist auf deine Tätigkeit abgestimmt. Je nach Position bekommst du auch ein Geschäftshandy oder -iPad, regelmäßiger Tausch gegen aktuelle Modelle inbegriffen.KantineHunger ist nicht gut für deine Karriere, das wissen wir. Abhilfe schaffen wir an Verwaltungsstandorten mit einer Kantine oder vergünstigten Lunch-Angeboten.Einarbeitung nach PlanWir möchten, dass du gut bei uns ankommst. Daher geben wir dir ausreichend Zeit, deine fachlichen Aufgaben zu erlernen. Dein Einarbeitungsplan gibt dir die nötige Sicherheit für einen guten Start und regelt alle Schritte.SabbaticalNach fünf Jahren Betriebszugehörigkeit hast du die Möglichkeit, ein dreimonatiges Sabbatical einzulegen. Egal, was du in dieser Zeit vor hast - wir geben dir den Freiraum.Gehalt und ZusatzleistungenAls Tarif-Mitarbeiter steigst du mit derzeit mindestens 14 Euro bei Lidl ein (variiert von 14 – 18,26 €/Std. je nach Tarifgebiet, ist abhängig von Ausbildung sowie Erfahrung. Gilt nicht für Praktikum, Ausbildung, Abiprogramm sowie Duales Studium). Dazu gibt es bei entsprechenden Voraussetzungen nach Tarif eine jährliche Einmalzahlung und nach 12 Monaten vermögenswirksame Leistungen.Arbeitsplatz mit VerantwortungOb Branchenkenner oder Quereinsteiger, bei Lidl kannst du dein volles Potenzial entfalten. Du übernimmst schnell Verantwortung und kannst so deine Karriere gestalten. Wir unterstützen dich dabei, Herausforderungen zu meistern.Weiterbildungen und SchulungenDein fachliches Wissen kannst du in Seminaren und Schulungen vertiefen. Damit qualifizierst du dich nicht nur für höhere Positionen, sondern entwickelst dich auch persönlich weiter.WertschätzungWir trauen unseren Mitarbeitern jede Menge zu und haben Respekt davor, wie sie sich täglich engagieren. Mit Teamgeist und Fairness bringen wir gemeinsam Dinge voran.
      "
